window_duration,total_packets,total_bytes,packets_per_sec,bytes_per_sec,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,pkt_size_median,pkt_size_q25,pkt_size_q75,pkt_size_skew,pkt_size_iqr,size_bin_tiny,size_bin_small,size_bin_medium,size_bin_large,size_bin_jumbo,payload_mean,payload_std,payload_max,payload_zero_ratio,payload_total,iat_mean,iat_std,iat_min,iat_max,iat_median,iat_q25,iat_q75,upload_packets,download_packets,upload_ratio,download_ratio,up_down_ratio,up_bytes_total,up_size_mean,up_size_std,up_size_max,down_bytes_total,down_size_mean,down_size_std,down_size_max,up_iat_mean,up_iat_std,down_iat_mean,down_iat_std,n_bursts,avg_burst_size,max_burst_size,burst_ratio,n_unique_dst_ports,tcp_ratio,udp_ratio,quic_ratio,pss_0,pss_1,pss_2,pss_3,pss_4,pss_5,pss_6,pss_7,pss_8,pss_9,pss_10,pss_11,pss_12,pss_13,pss_14,pss_15,pss_16,pss_17,pss_18,pss_19,pss_20,pss_21,pss_22,pss_23,pss_24,pss_25,pss_26,pss_27,pss_28,pss_29,pss_30,pss_31,pss_32,pss_33,pss_34,pss_35,pss_36,pss_37,pss_38,pss_39,pss_40,pss_41,pss_42,pss_43,pss_44,pss_45,pss_46,pss_47,pss_48,pss_49,app
2.9997730255126953,2168,1418034,722.7213464356905,472713.76465479145,654.0747232472324,575.6202037413052,66,1374,206.0,142.0,1374.0,0.36620587466535615,1232.0,0.00046125461254612545,0.5318265682656826,0.03736162361623616,0.04797047970479705,0.382380073800738,0.0,0.0,0,1.0,0,0.0013842976582891995,0.005870695735328721,0.00012087821960449219,0.08529806137084961,0.0002167224884033203,0.00015723705291748047,0.00047135353088378906,997,1171,0.4598708487084871,0.540129151291513,0.8514090520922288,275476,276.3049147442327,337.79929900035785,1374,1142558,975.7113578138343,539.7552110183558,1374,0.0030022921811145953,0.011546905105826755,0.0025639085688142693,0.008389304214152486,10,216.8,1623,1.0,3,0.00046125461254612545,0.9995387453874539,0.0,-1374,-1374,-238,142,142,158,-1006,142,-1374,-1374,142,-1374,-1374,142,123,143,-1374,-1374,142,158,-1294,-1374,158,142,-158,-174,158,158,158,158,158,126,1358,-238,-254,158,-142,-142,142,1374,654,-158,-1358,-1358,1358,-1358,1358,-1358,-1342,-174,vpn-netflix
2.9699409008026123,4583,3611068,1543.1283493760654,1215872.005743995,787.9266855771328,600.9603757303659,66,1374,1326.0,142.0,1374.0,-0.08617338367417451,1232.0,0.0002181976871045167,0.4479598516255728,0.02574732707833297,0.01636482653283875,0.5097097970761509,0.0,0.0,0,1.0,0,0.000648175665823355,0.003632469040335675,0.00011897087097167969,0.08529806137084961,0.00017511844635009766,0.00012993812561035156,0.0002758502960205078,1992,2591,0.4346497927121972,0.5653502072878027,0.768815129293709,367830,184.65361445783134,196.60456994863245,1374,3243238,1251.7321497491316,337.904438469816,1374,0.0014909990225408258,0.007213443455185199,0.0011441269436398068,0.005244557104940129,9,509.22222222222223,3714,1.0,3,0.0002181976871045167,0.9997818023128955,0.0,-366,-1310,-1374,158,142,206,-142,-142,142,1374,670,-1374,-1374,-1374,142,142,-1374,-1374,-654,142,142,142,-142,-142,-142,-142,-1374,-1374,-318,-398,-718,142,142,206,-142,718,-142,-142,-1374,142,-222,-1374,-206,-366,-1374,142,142,142,-702,-1374,vpn-netflix
2.9991819858551025,10195,8328400,3399.260214312498,2776890.511905857,816.9102501226091,602.0056547288723,119,1374,1374.0,142.0,1374.0,-0.18461058725304158,1232.0,0.0,0.4327611574301128,0.017361451692005887,0.014222658165767533,0.5356547327121138,0.0,0.0,0,1.0,0,0.00029421051460222703,0.0015961152272237914,0.00011897087097167969,0.0882418155670166,0.00013899803161621094,0.0001289844512939453,0.00019288063049316406,4346,5849,0.4262873957822462,0.5737126042177538,0.7430329970935202,714274,164.35204786010124,141.72137401414108,1374,7614126,1301.78252692768,255.46372016881645,1374,0.0006902605260886311,0.0029239112103486217,0.0005117426492610154,0.0023902616911960425,4,2548.75,3573,1.0,2,0.0,1.0,0.0,142,142,142,-1374,-1374,142,-1374,-1374,142,-1374,-1374,142,-1374,-1374,142,-1374,-1374,158,142,-430,-1374,158,142,-1374,-1374,158,142,-1374,-1374,142,-142,-462,-590,-462,-1374,-1374,-1374,-1374,142,142,158,142,142,-1374,-1374,142,142,-1374,-1374,-238,vpn-netflix
2.997559070587158,9330,7496842,3112.5324907016598,2500982.240370505,803.5200428724545,599.6383337231777,99,1374,1374.0,142.0,1374.0,-0.14132146346991004,1232.0,0.00010718113612004287,0.4381564844587353,0.019506966773847802,0.021864951768488745,0.5203644158628081,0.0,0.0,0,1.0,0,0.0003213162258106076,0.0021535548226512546,0.00011968612670898438,0.09811520576477051,0.0001399517059326172,0.00012993812561035156,0.00017189979553222656,4022,5308,0.43108252947481246,0.5689174705251876,0.7577241899020347,720626,179.17105917454003,182.64455342793306,1374,6776216,1276.6043707611152,295.9098511557864,1374,0.0007452957074578737,0.0036395145923540533,0.0005647569181601477,0.003018200686877052,6,1555.0,3868,1.0,2,0.0,1.0,0.0,-1374,-222,-1374,-1374,142,142,-1374,-1374,-1374,-1374,142,142,142,-1374,-1374,-1374,-366,-1374,158,142,142,142,-366,-1374,-1374,142,142,142,-1374,-1374,142,142,-1374,-1374,-1374,-222,-1374,142,142,142,-1374,-1374,-1374,-1374,-1374,142,158,142,142,-1374,vpn-netflix
2.9958629608154297,4295,3303360,1433.6436800269944,1102640.5557285151,769.1175785797438,595.1905953962588,99,1374,926.0,142.0,1374.0,-0.029097710218946547,1232.0,0.00023282887077997672,0.45494761350407453,0.027240977881257275,0.032363213038416765,0.4852153667054715,0.0,0.0,0,1.0,0,0.0006976858315825406,0.005098992490970316,0.00011992454528808594,0.18818163871765137,0.00016689300537109375,0.00013899803161621094,0.00023066997528076172,1922,2373,0.4474970896391153,0.5525029103608847,0.809945217024863,403962,210.17793964620188,243.9285103906366,1374,2899398,1221.82806573957,367.4223247265578,1374,0.0015595330353021498,0.008419067798164254,0.0012627062065806397,0.0074293464288969786,9,477.1111111111111,1556,0.99976717112922,2,0.0,1.0,0.0,142,-926,142,-1374,-1374,142,-1374,-1374,-1374,-926,158,158,-1374,158,158,142,142,158,142,-1374,142,142,-1374,-1374,142,-1374,-1374,142,-254,-1374,142,-1374,-1374,142,-1374,142,-1374,-1374,142,-1374,-1374,142,-142,-1374,-1374,-174,-190,-1374,-1374,-1374,vpn-netflix
2.968662977218628,1695,1209778,570.9641050558267,407516.11391517875,713.7333333333333,585.0988285865667,126,1374,366.0,142.0,1374.0,0.171289166845155,1232.0,0.0,0.4731563421828909,0.06135693215339233,0.03126843657817109,0.4342182890855457,0.0,0.0,0,1.0,0,0.0017524574836001346,0.009808722451119242,0.00011992454528808594,0.18818163871765137,0.00025963783264160156,0.00020313262939453125,0.00047588348388671875,745,950,0.43952802359882004,0.56047197640118,0.7842105263157895,173534,232.93154362416107,284.2646595270092,1374,1036244,1090.7831578947369,473.27132234950466,1374,0.003806365433559623,0.016210854978991204,0.0031267147044110473,0.01393644979743627,15,112.93333333333334,456,0.9994100294985251,1,0.0,1.0,0.0,142,-222,-1374,142,-446,-1374,142,-142,-270,142,-1374,-366,-1374,142,142,142,-1374,-1374,142,158,-1374,142,142,-1374,-1374,142,-1374,-1374,-1374,-1374,142,142,-1374,-1374,142,-1374,-1374,142,142,-1374,-1374,158,142,-702,-910,-1374,142,142,142,958,vpn-netflix
2.657418966293335,723,438586,272.0685029987826,165042.09744982581,606.6196403872752,548.139781873012,126,1374,222.0,142.0,1374.0,0.5726119920714222,1232.0,0.0,0.5076071922544951,0.12033195020746888,0.03872752420470263,0.3333333333333333,0.0,0.0,0,1.0,0,0.0036806356873868907,0.016845671335763878,0.00017189979553222656,0.16014885902404785,0.00042307376861572266,0.00026088953018188477,0.0006586313247680664,315,408,0.43568464730290457,0.5643153526970954,0.7720588235294118,87162,276.7047619047619,340.2634252292668,1374,351424,861.3333333333334,542.3344119444063,1374,0.008449108737289527,0.030049384073468997,0.0065277811936137135,0.025709881046761092,18,40.166666666666664,275,1.0,1,0.0,1.0,0.0,-1374,-782,-1374,-1374,-1374,-1374,142,142,142,-1374,-1374,142,-1374,-1374,142,-1374,-1374,142,-1374,-1374,158,142,-142,-142,-142,-142,-1374,142,-1374,142,-1374,-1374,142,-1374,-782,142,-1374,-1374,142,-1374,-1374,142,-1374,142,-1374,142,-1374,-526,142,-142,vpn-netflix
2.787269115447998,787,520250,282.3552256357942,186652.2314320482,661.0546378653113,567.3895468760041,126,1374,334.0,142.0,1374.0,0.3867233338029478,1232.0,0.0,0.46378653113087676,0.13468869123252858,0.01905972045743329,0.38246505717916135,0.0,0.0,0,1.0,0,0.0035461439127837126,0.02242574196516297,0.00013303756713867188,0.34750795364379883,0.00026357173919677734,0.00018310546875,0.0004960298538208008,334,453,0.4243964421855146,0.5756035578144854,0.7373068432671082,109108,326.6706586826347,415.62296426030684,1374,411142,907.598233995585,537.3123757517168,1374,0.008368568019466,0.03569667397081452,0.006164863046291655,0.03320517267002746,16,49.1875,459,1.0,1,0.0,1.0,0.0,-190,142,-190,142,1374,1342,1374,1374,1374,1374,1374,1374,1374,1150,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,142,-1374,-366,142,-686,142,542,670,878,158,158,142,-142,-142,-174,-158,158,-142,142,-142,142,126,126,1374,702,-318,vpn-netflix
2.9850080013275146,2299,1765258,770.1821901239701,591374.6292187296,767.8373205741627,593.6145467967604,142,1374,686.0,142.0,1374.0,-0.006691617927548203,1232.0,0.0,0.43714658547194435,0.05785123966942149,0.019573727707699,0.4854284471509352,0.0,0.0,0,1.0,0,0.0012989590954427827,0.009785121236072553,0.00012183189392089844,0.32529211044311523,0.0002601146697998047,0.0001869797706604004,0.0004527568817138672,974,1325,0.4236624619399739,0.5763375380600261,0.7350943396226415,205428,210.91170431211498,261.79940909449886,1374,1559830,1177.2301886792452,406.722260055302,1374,0.003057791542296297,0.015767511039758042,0.0022545377653531077,0.014376110452195166,12,191.58333333333334,1009,1.0,1,0.0,1.0,0.0,-478,-1374,-366,-1374,-318,-222,-1374,-1310,-222,-1374,-1374,-446,-1374,-1374,-222,-446,-1182,142,142,142,142,142,974,398,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,-1374,-1374,142,-1374,142,-1374,142,-1374,-1374,142,-1374,-1374,-1374,-1374,142,vpn-netflix
2.9887750148773193,6974,5658532,2333.3974505559304,1893261.276554223,811.3753943217665,602.9886705848581,142,1374,1374.0,142.0,1374.0,-0.1672277736142187,1232.0,0.0,0.43733868655004304,0.016633209062231143,0.014195583596214511,0.5318325207915113,0.0,0.0,0,1.0,0,0.0004286211121292585,0.0026078816412099886,0.00011897087097167969,0.12920308113098145,0.00015282630920410156,0.00012803077697753906,0.00023102760314941406,3015,3959,0.4323200458847147,0.5676799541152854,0.7615559484718363,480834,159.48059701492537,126.3573476630186,1374,5177698,1307.8297549886336,241.31191972293738,1374,0.0009894186721072739,0.004164142889341589,0.0007549974881018455,0.00375448200542658,5,1394.8,5619,1.0,1,0.0,1.0,0.0,-142,-1374,-798,-1374,-1374,-1374,-1374,-1374,158,142,142,-1374,-1374,142,-142,-590,-462,-462,-1374,158,158,-1374,-1374,-574,142,142,142,-1374,-1374,142,1086,-1374,-1374,158,142,-1374,142,-334,-1374,-222,-350,-174,142,142,-1374,-1374,142,-1374,-1374,142,vpn-netflix
